univ	ut	au	tu_au	lumc_au	leiden_au
leiden univ	000300074500011	3	0	0	2
tu delft	000406172700020	10	5	0	0
tu delft	000387849400011	4	2	0	0
leiden univ	000378716600013	26	0	0	1
leiden univ	000388614502075	7	0	0	0
leiden univ	000254359201060	6	0	0	6
leiden univ	000293340800406	6	0	0	2
tu delft	000300082100065	4	4	0	0
leiden univ	000326354400001	2	0	0	0
leiden univ	000311029900001	3	0	0	3
leiden univ	000410068300303	5	0	0	5
tu delft	000348306000003	4	1	0	0
leiden univ	000294907600008	7	0	0	4
tu delft	000289952100354	7	1	0	0
tu delft	000305402100002	2	1	0	0
leiden univ	000361600500048	4	1	0	3
leiden univ	000312870900003	5	0	0	1
tu delft	000422954700007	3	2	0	0
leiden univ	000273550500040	5	0	0	1
leiden univ	000292104700006	8	0	0	5
tu delft	000259726900062	2	1	0	0
leiden univ	000267788500006	12	0	0	1
leiden univ	000329753400016	8	0	0	1
tu delft	000329081000097	3	3	0	0
tu delft	000270723600031	5	1	0	0
leiden univ	000340210400001	2	0	0	1
tu delft	000411551800008	2	2	0	0
leiden univ	000356884600010	6	0	0	3
tu delft	000207957600006	3	2	0	0
tu delft	000405295800011	6	5	0	0
leiden univ	000337592500013	11	0	0	5
leiden univ	000274300900016	8	0	0	1
leiden univ	000264746900002	1	0	0	1
leiden univ	000283501900012	9	0	0	1
leiden univ	000276765100023	24	0	0	10
tu delft	000359425900016	2	1	0	0
leiden univ	000384674100004	11	0	0	1
leiden univ	000366488300006	5	0	0	3
leiden univ	000327865000011	2	0	0	1
lumc	000358255000438	5	0	0	5
leiden univ	000285427200002	16	0	0	1
leiden univ	000289306500001	5	0	0	3
leiden univ	000293873500037	6	0	0	6
leiden univ	000209496902304	10	0	0	2
lumc	000409462300001	3	0	0	1
leiden univ	000283452900364	6	0	0	3
leiden univ	000283017900037	5	0	0	1
leiden univ	000374496600488	21	0	0	2
leiden univ	000264703800011	1	0	0	1
leiden univ	000324275900002	5	0	0	0
leiden univ	000356730201180	20	0	0	2
leiden univ	000273060600003	2	0	0	1
leiden univ	000265542001099	10	0	0	1
leiden univ	000252943300004	9	0	0	2
leiden univ	000341230600102	3	0	0	2
leiden univ	000401170800001	8	0	0	2
tu delft	000385414700002	4	1	0	0
tu delft	000328702100035	7	3	0	0
leiden univ	000268949100010	1	0	0	1
leiden univ	000294101000010	11	0	0	3
tu delft	000301580500119	4	1	0	0
leiden univ	000315745700014	8	0	0	8
leiden univ	000308131701408	14	0	0	4
leiden univ	000369533100020	46	0	0	1
leiden univ	000339494900004	5	0	0	4
leiden univ	000331961400013	8	0	0	7
leiden univ	000279161400006	4	0	0	1
tu delft	000265530300001	2	1	0	0
leiden univ	000278158100008	1	0	0	1
leiden univ	000311706300049	11	0	0	2
leiden univ	000306272900007	3	0	0	2
leiden univ	000316939200006	4	0	0	3
leiden univ	000383773600055	11	0	0	1
tu delft	000327912800039	3	1	0	0
tu delft	000328319900005	4	2	0	0
tu delft	000281109300010	8	2	0	0
leiden univ	000363434100001	4	0	0	4
tu delft	000391078100013	4	4	0	0
leiden univ	000279559500549	22	0	0	3
tu delft	000320726000034	2	2	0	0
leiden univ	000296649900004	5	0	0	4
tu delft	000295166900001	3	1	0	0
leiden univ	000296848900005	3	0	0	1
tu delft	000342469300006	3	1	0	0
leiden univ	000208621503627	5	0	0	5
