to	from	weight
33010639	14966817	13
7145611	10485505	3
34793670	31511784	3
14893743	915064	1
18473715	14929638	2
6647301	40163845	1
19224141	976222	1
626828	1668513	3
45853399	25910525	1
20787860	24150166	1
13728492	37675890	1
7087610	680785	2
8356001	25735692	3
13837462	17832117	1
14941681	15833374	1
31375060	6227121	2
28974609	1808161	1
44214176	40801457	2
13299312	1364051	1
33988281	3930469	1
4081205	41139446	1
6136225	13891528	1
40490798	2003322	2
45116966	26587299	1
41061676	38104106	1
18774505	9886019	1
5377048	12328295	4
49957287	2512795	3
18001065	655036	2
44755377	9411007	2
6269584	27033516	1
17578693	8660969	2
42452854	20749189	1
8329513	19265647	1
40132305	5534462	2
15971006	35174134	1
11151700	31077247	1
35199104	25437798	6
44008510	42922171	1
49023491	20500223	4
15971006	51098540	2
14966030	49239321	1
33916285	31137348	1
22774516	45284816	4
32364308	4026214	2
16029257	46333093	1
40783716	8865901	1
4649772	29715407	1
16961797	41028506	1
38196826	41864666	1
5295757	11060713	2
3039442	11131349	1
41544338	45485506	1
5293463	36676202	1
9595364	27341417	1
8042154	20924881	3
49133664	44041213	1
42790136	19082780	1
18128212	9246190	1
20287560	23409125	1
30430056	15330338	2
47422165	31519216	2
33045866	4690012	1
35163026	488820	1
26587299	42031685	2
48260644	38315508	1
44876347	35608534	1
46144006	33442624	1
13728492	30819069	1
50090328	26274186	1
7969033	13980498	1
42452854	20518284	3
1618441	43384006	1
45384564	10471095	2
27639999	16649445	1
38019649	2256426	1
16961837	8924600	3
25735692	21066460	1
42587657	21558751	1
7650429	41062356	1
7603397	26279015	1
21750382	48344257	1
2938719	1738981	2
13522886	42426239	1
43669428	41653018	1
45446438	40636316	1
8830438	11169843	2
2953534	21009435	4
28974609	51294462	1
40756820	48033291	1
31889688	47288408	2
18009407	25727202	9
48811347	31817395	5
41312510	37794927	1
5437202	42562048	9
35199104	8620023	1
1191122	19807191	1
44496712	36030110	1
2968938	38633081	1
27770984	42848879	1
2197845	15217753	1
44970362	49943326	1
43247144	32853064	1
50071649	14884926	2
27916310	32104985	2
5930607	32046459	15
32374994	3930469	7
16968071	35461633	1
18410258	34452634	1
31826353	26907017	3
28561711	41821985	1
28468378	34777943	2
20297661	797476	1
34108223	12787249	1
40950197	30084098	1
936777	40430459	8
26512237	32511540	1
37146403	31955763	1
48925234	37769882	3
34472325	39757127	1
19192801	22188125	3
41203518	38967719	3
13440963	3084986	1
35461633	20006401	1
38318370	11853005	3
1696281	26907017	3
2851525	44240934	3
51273547	4649772	4
13048179	28391640	2
36872201	42085507	1
13794551	38539073	3
38104106	16974267	1
37282017	21558803	7
51556910	25621874	1
15642184	51144003	1
12892815	44797740	5
46621197	4392294	1
610641	10674048	1
45572174	48109985	1
2978731	28790787	1
51494054	9626067	1
22977241	32606832	1
36429343	39909161	1
598018	39666356	1
38399796	176533	1
2581730	51294462	1
25794676	48559137	1
1791959	4028605	1
5790895	36587459	1
43765260	39048980	1
45026519	30084098	1
12169030	21577092	2
8296843	29182324	1
9557261	25898428	1
36605976	16998791	4
35265681	26103497	2
34330725	30084098	2
29096652	41178313	1
47160930	33538769	1
26892732	24635618	2
40347662	49609916	1
28074351	40171955	1
25273410	7594511	2
3057532	23572346	10
41554103	4769266	1
16930419	28437532	1
12948963	24527794	1
6722368	42012841	1
1668513	43912302	1
7965926	8491755	1
14341278	27689072	2
17316341	37937639	1
11945683	37282017	1
16105317	47333021	1
1964069	29164206	1
413816	8985990	1
2341406	47922526	1
33072551	8180544	4
14485179	45577498	5
33905280	37607456	1
25898428	13753295	7
48945695	26579391	1
34088717	6480486	1
50271527	8042154	1
30430056	46946810	1
1426023	26064643	1
6525028	19379951	1
25722896	29557122	1
6557623	35357542	1
44463583	20318747	1
21908506	8481075	1
22298163	21880294	1
50839549	9234438	1
44755377	2953060	1
31478625	14412641	1
22298185	38399988	1
34477383	33440320	1
25437798	35199104	6
24517686	40538329	5
21717522	19179478	2
28790787	26041806	1
22963313	33764775	1
8331308	45209008	1
33007010	41861458	1
51507663	48843624	1
40241868	8969471	2
38940899	34887476	1
41382299	10050118	1
27810395	14740514	2
3688513	28181413	1
17885885	42567327	1
50206946	38997102	2
42761296	12942755	3
1412403	20229098	1
22371030	45116966	1
28007960	42405608	1
12049787	26638158	1
40849160	39988957	3
25675856	36437542	1
31826353	19646381	1
30084098	6050550	1
13860197	35355490	4
41350150	23965055	1
21577092	23273658	1
50409579	24275562	2
11487785	5437202	3
25445969	41032689	3
21558751	29557122	2
26287675	41068682	1
41524400	14772367	1
28115762	32692765	4
8645676	17477817	2
610641	15035761	1
12816782	1265324	1
14772367	5042962	4
3172327	673878	1
47871913	45284816	1
31818959	48503861	1
16930419	9557261	9
37607456	11222493	2
7969033	20915824	5
22820488	13935357	5
31686388	13290054	3
10816493	16239711	1
12589221	31029232	1
40801457	33766499	1
13128161	41141089	1
43525927	805693	1
19275612	42742229	1
49065650	12691945	1
26587299	11679120	2
10036948	27978691	15
26292898	32414126	1
11102712	47990995	1
9557261	28437532	1
41256366	4755614	1
50340442	45062470	1
13675907	15402964	3
2581730	15477976	1
35665306	23841052	2
1791959	31872208	1
13650011	23666483	1
168143	2353618	1
50396154	12130626	2
18473715	14600871	4
32635209	7090388	1
40994916	3305197	3
26186714	45331538	1
24663545	35199104	1
19984611	3588099	1
39807390	30044932	1
26274186	51039109	3
41041437	37980817	1
17525503	9657831	1
29660054	27790520	1
41573502	32046459	7
23568907	34440727	2
13124145	39824113	1
45323422	15902932	2
5790895	28421627	1
13143356	51565162	1
19740170	6436616	1
44214176	43669428	3
297772	6617744	1
45446586	3812689	2
31077247	17973874	1
6138382	12962847	2
1618441	29241786	6
19307225	23289778	2
36802124	19706491	2
28145115	33069911	3
46864419	31644157	1
15236639	32762861	1
33440320	23573141	1
50664991	14154841	1
28604012	10979727	1
598018	13969037	2
21200579	7969033	3
21737493	8077965	3
31965547	50014841	1
3752155	23666483	1
1952495	42276919	3
1947872	33827967	6
30135751	35934788	1
20229098	39586412	1
22898435	5936649	1
936777	4536650	2
32958442	10087844	6
22079594	7513974	3
18733473	31044221	1
5641040	37282017	17
18116337	33072551	2
15239845	17105782	1
42753296	28378785	1
28100213	41411499	1
44015689	42212711	1
46271996	33300591	1
7584913	8356632	1
32364308	29472044	2
14750093	18435383	2
28472873	48819557	4
6681581	37757290	1
39093281	31130137	3
41891244	1716722	2
44479017	7603397	1
17833579	37320698	1
20742911	27614608	13
19082780	42790136	1
20377987	17997547	2
3751170	5534462	3
22415084	9654078	1
21009435	24809956	1
41264516	26574063	1
31511784	3534598	1
7553648	45384564	1
45302072	7724765	1
40994916	30198941	1
26042141	6251603	1
16958389	30848261	1
7734879	22774516	1
31955763	37146403	1
35872928	40887408	1
14828331	33465457	1
50878575	12832681	1
33488423	47955889	1
16705028	6408313	1
22774516	50396154	4
2390605	21964500	3
814018	41041437	4
31926637	1567850	1
8237590	43230235	2
33759283	7965926	1
41874645	18692874	1
6194746	10035280	3
26321118	45583747	1
43328035	48811338	2
47968393	41041437	1
16508436	35827574	1
38967470	47978856	1
16467484	8356001	7
44361204	46386623	1
598018	16930419	7
8645676	21908506	1
12157127	598018	1
19167279	5314019	6
20894081	40687804	2
11516994	22195484	11
8242180	36865061	1
44770300	9783713	3
1191122	24826693	3
82274	31130137	1
7854486	45096299	1
30891085	46044303	5
13724093	26834224	4
9704546	3185105	1
39909176	27237710	1
23396683	9173809	1
22123627	50639528	1
9657725	47531681	2
915064	42530077	1
25822240	47519919	1
43076079	20875843	1
30980087	1535739	2
14055009	25542596	1
24005100	7690011	1
16509491	7624451	1
12370133	6035940	1
14941681	4243737	1
46986275	21705867	1
18070492	34585271	1
26180187	8469053	1
13804210	23254357	1
23694506	11679120	1
17105782	16441789	3
7965926	24048708	4
33831327	13712718	2
1763095	26912360	1
39811966	1879092	1
8955894	40687804	2
4081205	13912218	2
28048989	21935701	1
8758659	15174543	4
29251871	11437613	4
1038258	29777215	2
28079947	3159874	2
29351057	16223983	1
21386410	23916877	1
13674350	7553648	1
36051981	43991273	3
12890884	7962624	1
38429063	19228087	3
14021096	24011907	2
28007960	50659913	1
27631012	27597294	3
13723858	31181459	1
19068275	42645923	4
31946108	13765732	1
45586815	21010252	1
33442624	34726588	3
28937724	4690012	1
42681924	1023857	1
7107233	31990531	4
21454349	50502462	1
42232963	20972529	1
46067598	36521390	2
17991747	2968127	1
31536734	9937550	3
28562517	38390427	1
23289778	32364308	2
33826261	51018484	5
19947816	6076734	9
25781368	37282017	2
45138878	19129800	14
6210815	42267807	1
22630040	47348741	3
25483199	38399988	1
44477644	50976908	3
42233430	13114271	3
45190710	4161431	1
9056610	13658309	1
33483183	49741993	2
20858955	41392092	3
33788660	33012950	2
25910525	45853399	1
22422173	9797369	1
7962624	6899116	2
45065687	45447987	1
4867079	18102020	1
12392841	7497322	1
18133422	12456857	1
19043203	12936926	4
8312951	1756257	1
12100688	7598474	11
50944644	31826353	4
41446329	43055192	1
38454468	26321118	2
51037610	39548131	4
31440628	33456338	3
21281241	51357795	6
9246399	7962624	4
30823371	42072697	3
46019993	16998791	4
13541346	4615099	1
13724093	37299367	14
51528918	16276729	1
44770300	34075004	2
7459868	16629963	2
22131934	12643811	1
21908506	42016773	2
17361401	35656262	1
45975246	40687804	1
41678860	2484205	3
43991273	33800547	2
7557812	47148733	1
23945305	41571458	1
32596088	5641040	1
5926274	37926425	4
30799750	34646023	1
9657831	17525503	1
15306780	23387922	1
2580732	35534987	1
30092081	14893743	1
4518146	39988957	12
35435225	20749189	1
41205471	34793670	2
9501539	9155250	1
42072697	51494054	4
1805342	21558803	1
48931652	17394850	1
21511968	24660626	1
8237590	24861203	1
27341417	6220523	3
9959944	45481722	1
40687804	41524655	1
33300591	26292898	1
9411007	20742911	1
30819069	31857200	2
18883289	34170273	1
15851466	34777943	1
47955889	28301252	2
2953534	8803758	1
21908506	51498205	2
15154653	45975246	1
38529012	12409125	1
28225159	42922171	1
35461633	4757411	1
33130360	44563855	4
45138878	6873750	1
23387930	3275107	1
15519318	28310583	1
26834224	28644302	1
12680311	1407326	1
27530617	18060412	1
13124145	45583221	1
42291751	45384564	1
